Unnamed: 0,player,position,position_id,date,team,opp,score,fpts,min,starts
14,Oliver Burke,"M,F",5.0,Jan 12,SHU,NEW,W 1-0,7.25,57,1
15,Oliver Burke,"M,F",5.0,Dec 29,SHU,@BUR,L 0-1,0.0,27,0
16,Oliver Burke,"M,F",5.0,Dec 26,SHU,EVE,L 0-1,3.5,45,1
17,Oliver Burke,"M,F",5.0,Dec 20,SHU,@BHA,T 1-1,7.1,57,0
18,Oliver Burke,"M,F",5.0,Dec 17,SHU,MUN,L 2-3,12.25,73,1
19,Oliver Burke,"M,F",5.0,Dec 6,SHU,LEI,L 1-2,3.5,81,1
20,Oliver Burke,"M,F",5.0,Nov 28,SHU,@WBA,L 0-1,7.85,74,1
21,Oliver Burke,"M,F",5.0,Oct 24,SHU,@LIV,L 1-2,2.0,36,0
22,Oliver Burke,"M,F",5.0,Oct 4,SHU,@ARS,L 1-2,2.5,56,1
23,Oliver Burke,"M,F",5.0,Sep 27,SHU,LEE,L 0-1,7.75,74,1
24,Oliver Burke,"M,F",5.0,Sep 21,SHU,@AVL,L 0-1,4.0,90,1
0,David McGoldrick,F,6.0,May 23,SHU,BUR,W 1-0,18.95,90,1
1,David McGoldrick,F,6.0,May 19,SHU,@NEW,L 0-1,11.5,90,1
2,David McGoldrick,F,6.0,May 16,SHU,@EVE,W 1-0,7.95,90,1
3,David McGoldrick,F,6.0,May 8,SHU,CRY,L 0-2,6.1,90,1
4,David McGoldrick,F,6.0,May 2,SHU,@TOT,L 0-4,4.35,82,1
5,David McGoldrick,F,6.0,Apr 24,SHU,BHA,W 1-0,20.65,90,1
6,David McGoldrick,F,6.0,Apr 17,SHU,@WOL,L 0-1,9.35,90,1
7,David McGoldrick,F,6.0,Apr 11,SHU,ARS,L 0-3,4.5,63,1
8,David McGoldrick,F,6.0,Apr 3,SHU,@LEE,L 1-2,8.0,90,1
9,David McGoldrick,F,6.0,Mar 6,SHU,SOU,L 0-2,9.0,57,1
10,David McGoldrick,F,6.0,Mar 3,SHU,AVL,W 1-0,14.2,72,1
11,David McGoldrick,F,6.0,Feb 28,SHU,LIV,L 0-2,7.25,55,1
12,David McGoldrick,F,6.0,Feb 20,SHU,@FUL,L 0-1,-0.5,15,0
13,David McGoldrick,F,6.0,Feb 15,SHU,@WHU,L 0-3,11.6,90,1
14,David McGoldrick,F,6.0,Feb 7,SHU,CHE,L 1-2,5.0,27,0
15,David McGoldrick,F,6.0,Feb 2,SHU,WBA,W 2-1,11.35,90,1
16,David McGoldrick,F,6.0,Jan 30,SHU,@MCI,L 0-1,2.1,27,0
17,David McGoldrick,F,6.0,Jan 27,SHU,@MUN,W 2-1,3.25,79,1
18,David McGoldrick,F,6.0,Jan 17,SHU,TOT,L 1-3,18.35,90,1
19,David McGoldrick,F,6.0,Jan 12,SHU,NEW,W 1-0,5.5,88,1
20,David McGoldrick,F,6.0,Jan 2,SHU,@CRY,L 0-2,9.1,90,1
21,David McGoldrick,F,6.0,Dec 29,SHU,@BUR,L 0-1,6.75,90,1
22,David McGoldrick,F,6.0,Dec 26,SHU,EVE,L 0-1,7.25,63,1
23,David McGoldrick,F,6.0,Dec 20,SHU,@BHA,T 1-1,13.25,70,1
24,David McGoldrick,F,6.0,Dec 17,SHU,MUN,L 2-3,30.7,90,1
25,David McGoldrick,F,6.0,Dec 13,SHU,@SOU,L 0-3,4.0,42,0
26,David McGoldrick,F,6.0,Nov 22,SHU,WHU,L 0-1,7.75,90,1
27,David McGoldrick,F,6.0,Nov 7,SHU,@CHE,L 1-4,14.25,90,1
28,David McGoldrick,F,6.0,Oct 31,SHU,MCI,L 0-1,0.5,9,0
29,David McGoldrick,F,6.0,Oct 24,SHU,@LIV,L 1-2,2.1,14,0
30,David McGoldrick,F,6.0,Oct 18,SHU,FUL,T 1-1,2.5,64,1
31,David McGoldrick,F,6.0,Oct 4,SHU,@ARS,L 1-2,17.5,90,1
32,David McGoldrick,F,6.0,Sep 27,SHU,LEE,L 0-1,5.35,74,1
33,David McGoldrick,F,6.0,Sep 21,SHU,@AVL,L 0-1,1.35,31,1
34,David McGoldrick,F,6.0,Sep 14,SHU,WOL,L 0-2,2.0,19,0
0,Oliver McBurnie,F,6.0,Apr 11,SHU,ARS,L 0-3,2.0,18,0
1,Oliver McBurnie,F,6.0,Apr 3,SHU,@LEE,L 1-2,11.15,76,1
2,Oliver McBurnie,F,6.0,Mar 6,SHU,SOU,L 0-2,2.7,44,0
3,Oliver McBurnie,F,6.0,Mar 3,SHU,AVL,W 1-0,0.5,1,0
4,Oliver McBurnie,F,6.0,Feb 28,SHU,LIV,L 0-2,5.95,90,1
5,Oliver McBurnie,F,6.0,Feb 20,SHU,@FUL,L 0-1,6.85,90,1
6,Oliver McBurnie,F,6.0,Feb 15,SHU,@WHU,L 0-3,4.75,27,0
7,Oliver McBurnie,F,6.0,Feb 7,SHU,CHE,L 1-2,7.1,90,1
8,Oliver McBurnie,F,6.0,Feb 2,SHU,WBA,W 2-1,4.2,44,0
9,Oliver McBurnie,F,6.0,Jan 30,SHU,@MCI,L 0-1,1.6,11,0
10,Oliver McBurnie,F,6.0,Dec 26,SHU,EVE,L 0-1,3.25,45,0
11,Oliver McBurnie,F,6.0,Dec 13,SHU,@SOU,L 0-3,3.5,48,1
12,Oliver McBurnie,F,6.0,Dec 6,SHU,LEI,L 1-2,16.5,90,1
13,Oliver McBurnie,F,6.0,Nov 28,SHU,@WBA,L 0-1,16.95,90,1
14,Oliver McBurnie,F,6.0,Nov 22,SHU,WHU,L 0-1,11.0,90,1
15,Oliver McBurnie,F,6.0,Nov 7,SHU,@CHE,L 1-4,1.5,27,0
16,Oliver McBurnie,F,6.0,Oct 31,SHU,MCI,L 0-1,5.45,90,1
17,Oliver McBurnie,F,6.0,Oct 24,SHU,@LIV,L 1-2,12.7,90,1
18,Oliver McBurnie,F,6.0,Oct 18,SHU,FUL,T 1-1,16.95,90,1
19,Oliver McBurnie,F,6.0,Oct 4,SHU,@ARS,L 1-2,3.0,34,0
20,Oliver McBurnie,F,6.0,Sep 27,SHU,LEE,L 0-1,1.85,16,0
21,Oliver McBurnie,F,6.0,Sep 21,SHU,@AVL,L 0-1,3.5,22,0
22,Oliver McBurnie,F,6.0,Sep 14,SHU,WOL,L 0-2,12.7,90,1
0,Billy Sharp,F,6.0,Mar 14,SHU,@LEI,L 0-5,2.6,90,1
1,Billy Sharp,F,6.0,Mar 6,SHU,SOU,L 0-2,2.25,21,0
2,Billy Sharp,F,6.0,Feb 28,SHU,LIV,L 0-2,1.25,9,0
3,Billy Sharp,F,6.0,Feb 20,SHU,@FUL,L 0-1,4.35,90,1
4,Billy Sharp,F,6.0,Feb 15,SHU,@WHU,L 0-3,5.25,90,1
5,Billy Sharp,F,6.0,Feb 7,SHU,CHE,L 1-2,3.25,21,0
6,Billy Sharp,F,6.0,Feb 2,SHU,WBA,W 2-1,14.75,85,1
7,Billy Sharp,F,6.0,Jan 30,SHU,@MCI,L 0-1,1.5,12,0
8,Billy Sharp,F,6.0,Jan 27,SHU,@MUN,W 2-1,4.0,69,1
9,Billy Sharp,F,6.0,Jan 17,SHU,TOT,L 1-3,1.0,15,0
10,Billy Sharp,F,6.0,Jan 12,SHU,NEW,W 1-0,9.25,31,0
11,Billy Sharp,F,6.0,Dec 13,SHU,@SOU,L 0-3,3.5,60,1
12,Billy Sharp,F,6.0,Oct 18,SHU,FUL,T 1-1,11.25,9,0
13,Billy Sharp,F,6.0,Oct 4,SHU,@ARS,L 1-2,1.25,14,0
14,Billy Sharp,F,6.0,Sep 27,SHU,LEE,L 0-1,3.5,16,0
15,Billy Sharp,F,6.0,Sep 14,SHU,WOL,L 0-2,3.25,90,1
0,Lys Mousset,F,6.0,May 2,SHU,@TOT,L 0-4,1.0,6,0
1,Lys Mousset,F,6.0,Apr 17,SHU,@WOL,L 0-1,0.5,14,0
2,Lys Mousset,F,6.0,Apr 11,SHU,ARS,L 0-3,1.0,6,0
3,Lys Mousset,F,6.0,Mar 14,SHU,@LEI,L 0-5,1.1,26,0
4,Lys Mousset,F,6.0,Mar 6,SHU,SOU,L 0-2,1.0,31,0
5,Lys Mousset,F,6.0,Jan 2,SHU,@CRY,L 0-2,1.75,60,1
6,Lys Mousset,F,6.0,Dec 29,SHU,@BUR,L 0-1,5.75,63,1
7,Lys Mousset,F,6.0,Dec 26,SHU,EVE,L 0-1,0.0,14,0
8,Lys Mousset,F,6.0,Dec 17,SHU,MUN,L 2-3,5.0,27,0
9,Lys Mousset,F,6.0,Dec 13,SHU,@SOU,L 0-3,0.5,20,0
10,Lys Mousset,F,6.0,Nov 28,SHU,@WBA,L 0-1,5.25,16,0
0,Rhian Brewster,F,6.0,May 23,SHU,BUR,W 1-0,4.5,10,0
1,Rhian Brewster,F,6.0,May 19,SHU,@NEW,L 0-1,1.75,22,0
2,Rhian Brewster,F,6.0,May 2,SHU,@TOT,L 0-4,3.0,44,1
3,Rhian Brewster,F,6.0,Apr 24,SHU,BHA,W 1-0,4.75,64,1
4,Rhian Brewster,F,6.0,Apr 17,SHU,@WOL,L 0-1,7.0,74,1
5,Rhian Brewster,F,6.0,Apr 11,SHU,ARS,L 0-3,1.5,25,0
6,Rhian Brewster,F,6.0,Apr 3,SHU,@LEE,L 1-2,2.0,16,0
7,Rhian Brewster,F,6.0,Mar 6,SHU,SOU,L 0-2,5.1,67,1
8,Rhian Brewster,F,6.0,Mar 3,SHU,AVL,W 1-0,5.75,59,1
9,Rhian Brewster,F,6.0,Feb 7,SHU,CHE,L 1-2,1.0,3,0
10,Rhian Brewster,F,6.0,Jan 30,SHU,@MCI,L 0-1,5.25,61,1
11,Rhian Brewster,F,6.0,Jan 27,SHU,@MUN,W 2-1,2.85,9,0
12,Rhian Brewster,F,6.0,Jan 17,SHU,TOT,L 1-3,2.0,18,0
13,Rhian Brewster,F,6.0,Jan 12,SHU,NEW,W 1-0,2.0,38,0
14,Rhian Brewster,F,6.0,Jan 2,SHU,@CRY,L 0-2,0.0,28,0
15,Rhian Brewster,F,6.0,Dec 29,SHU,@BUR,L 0-1,10.25,90,1
16,Rhian Brewster,F,6.0,Dec 26,SHU,EVE,L 0-1,5.1,76,1
17,Rhian Brewster,F,6.0,Dec 20,SHU,@BHA,T 1-1,3.0,54,1
18,Rhian Brewster,F,6.0,Dec 17,SHU,MUN,L 2-3,2.5,17,0
19,Rhian Brewster,F,6.0,Dec 13,SHU,@SOU,L 0-3,1.5,30,0
20,Rhian Brewster,F,6.0,Dec 6,SHU,LEI,L 1-2,1.0,9,0
21,Rhian Brewster,F,6.0,Nov 28,SHU,@WBA,L 0-1,5.75,36,0
22,Rhian Brewster,F,6.0,Nov 22,SHU,WHU,L 0-1,2.25,25,0
23,Rhian Brewster,F,6.0,Nov 7,SHU,@CHE,L 1-4,3.1,63,1
24,Rhian Brewster,F,6.0,Oct 31,SHU,MCI,L 0-1,6.75,90,1
25,Rhian Brewster,F,6.0,Oct 24,SHU,@LIV,L 1-2,3.75,54,1
26,Rhian Brewster,F,6.0,Oct 18,SHU,FUL,T 1-1,1.75,26,0
0,Antwoine Hackford,F,6.0,Jan 2,SHU,@CRY,L 0-2,1.25,9,0
0,Daniel Jebbison,F,6.0,May 23,SHU,BUR,W 1-0,6.25,78,1
1,Daniel Jebbison,F,6.0,May 19,SHU,@NEW,L 0-1,3.5,90,1
2,Daniel Jebbison,F,6.0,May 16,SHU,@EVE,W 1-0,19.25,90,1
3,Daniel Jebbison,F,6.0,May 8,SHU,CRY,L 0-2,1.5,24,0
0,Alex McCarthy,G,1.0,May 23,SOU,@WHU,L 0-3,9.5,90,1
1,Alex McCarthy,G,1.0,May 18,SOU,LEE,L 0-2,10.5,90,1
2,Alex McCarthy,G,1.0,May 15,SOU,FUL,W 3-1,7.5,90,1
3,Alex McCarthy,G,1.0,Apr 30,SOU,LEI,T 1-1,15.0,90,1
4,Alex McCarthy,G,1.0,Apr 21,SOU,@TOT,L 1-2,4.0,90,1
5,Alex McCarthy,G,1.0,Mar 10,SOU,@MCI,L 2-5,8.5,90,1
6,Alex McCarthy,G,1.0,Feb 23,SOU,@LEE,L 0-3,8.0,90,1
7,Alex McCarthy,G,1.0,Feb 20,SOU,CHE,T 1-1,4.0,90,1
8,Alex McCarthy,G,1.0,Feb 14,SOU,WOL,L 1-2,7.0,90,1
9,Alex McCarthy,G,1.0,Feb 6,SOU,@NEW,L 2-3,4.5,90,1
10,Alex McCarthy,G,1.0,Feb 2,SOU,@MUN,L 0-9,8.0,90,1
11,Alex McCarthy,G,1.0,Jan 30,SOU,AVL,L 0-1,7.5,90,1
12,Alex McCarthy,G,1.0,Jan 26,SOU,ARS,L 1-3,3.5,90,1
13,Alex McCarthy,G,1.0,Jan 16,SOU,@LEI,L 0-2,6.5,90,1
14,Alex McCarthy,G,1.0,Dec 29,SOU,WHU,T 0-0,16.5,90,1
15,Alex McCarthy,G,1.0,Dec 26,SOU,@FUL,T 0-0,14.5,90,1
16,Alex McCarthy,G,1.0,Dec 19,SOU,MCI,L 0-1,9.0,90,1
17,Alex McCarthy,G,1.0,Dec 16,SOU,@ARS,T 1-1,9.0,90,1
18,Alex McCarthy,G,1.0,Dec 13,SOU,SHU,W 3-0,12.0,90,1
19,Alex McCarthy,G,1.0,Dec 7,SOU,@BHA,W 2-1,6.5,90,1
20,Alex McCarthy,G,1.0,Nov 29,SOU,MUN,L 2-3,8.0,90,1
21,Alex McCarthy,G,1.0,Nov 23,SOU,@WOL,T 1-1,15.5,90,1
22,Alex McCarthy,G,1.0,Nov 6,SOU,NEW,W 2-0,15.0,90,1
23,Alex McCarthy,G,1.0,Nov 1,SOU,@AVL,W 4-3,13.5,90,1
24,Alex McCarthy,G,1.0,Oct 25,SOU,EVE,W 2-0,15.5,90,1
25,Alex McCarthy,G,1.0,Oct 17,SOU,@CHE,T 3-3,5.0,90,1
26,Alex McCarthy,G,1.0,Oct 4,SOU,WBA,W 2-0,17.0,90,1
27,Alex McCarthy,G,1.0,Sep 26,SOU,@BUR,W 1-0,16.0,90,1
28,Alex McCarthy,G,1.0,Sep 20,SOU,TOT,L 2-5,3.0,90,1
29,Alex McCarthy,G,1.0,Sep 12,SOU,@CRY,L 0-1,6.5,90,1
0,Fraser Forster,G,1.0,May 11,SOU,CRY,W 3-1,14.0,90,1
1,Fraser Forster,G,1.0,May 8,SOU,@LIV,L 0-2,9.0,90,1
2,Fraser Forster,G,1.0,Apr 12,SOU,@WBA,L 0-3,6.5,90,1
3,Fraser Forster,G,1.0,Apr 4,SOU,BUR,W 3-2,11.5,90,1
4,Fraser Forster,G,1.0,Mar 14,SOU,BHA,L 1-2,8.5,90,1
5,Fraser Forster,G,1.0,Mar 6,SOU,@SHU,W 2-0,16.5,90,1
6,Fraser Forster,G,1.0,Mar 1,SOU,@EVE,L 0-1,4.0,90,1
7,Fraser Forster,G,1.0,Jan 4,SOU,LIV,W 1-0,15.5,90,1
0,Kyle Walker-Peters,D,2.0,May 23,SOU,@WHU,L 0-3,6.75,59,1
1,Kyle Walker-Peters,D,2.0,May 18,SOU,LEE,L 0-2,7.75,90,1
2,Kyle Walker-Peters,D,2.0,May 15,SOU,FUL,W 3-1,12.45,90,1
3,Kyle Walker-Peters,D,2.0,May 11,SOU,CRY,W 3-1,5.95,90,1
4,Kyle Walker-Peters,D,2.0,May 8,SOU,@LIV,L 0-2,8.05,90,1
5,Kyle Walker-Peters,D,2.0,Apr 30,SOU,LEI,T 1-1,8.9,90,1
6,Kyle Walker-Peters,D,2.0,Apr 21,SOU,@TOT,L 1-2,12.65,90,1
7,Kyle Walker-Peters,D,2.0,Apr 12,SOU,@WBA,L 0-3,11.7,86,1
8,Kyle Walker-Peters,D,2.0,Apr 4,SOU,BUR,W 3-2,6.85,90,1
9,Kyle Walker-Peters,D,2.0,Mar 14,SOU,BHA,L 1-2,8.8,90,1
10,Kyle Walker-Peters,D,2.0,Mar 6,SOU,@SHU,W 2-0,17.6,90,1
11,Kyle Walker-Peters,D,2.0,Feb 14,SOU,WOL,L 1-2,7.6,71,1
12,Kyle Walker-Peters,D,2.0,Jan 16,SOU,@LEI,L 0-2,8.25,90,1
13,Kyle Walker-Peters,D,2.0,Jan 4,SOU,LIV,W 1-0,20.7,90,1
14,Kyle Walker-Peters,D,2.0,Dec 29,SOU,WHU,T 0-0,12.6,90,1
15,Kyle Walker-Peters,D,2.0,Dec 26,SOU,@FUL,T 0-0,24.45,90,1
16,Kyle Walker-Peters,D,2.0,Dec 19,SOU,MCI,L 0-1,10.6,90,1
17,Kyle Walker-Peters,D,2.0,Dec 16,SOU,@ARS,T 1-1,9.0,90,1
18,Kyle Walker-Peters,D,2.0,Dec 13,SOU,SHU,W 3-0,17.35,90,1
19,Kyle Walker-Peters,D,2.0,Dec 7,SOU,@BHA,W 2-1,10.6,90,1
20,Kyle Walker-Peters,D,2.0,Nov 29,SOU,MUN,L 2-3,7.6,89,1
21,Kyle Walker-Peters,D,2.0,Nov 23,SOU,@WOL,T 1-1,11.85,90,1
22,Kyle Walker-Peters,D,2.0,Nov 6,SOU,NEW,W 2-0,19.7,90,1
23,Kyle Walker-Peters,D,2.0,Nov 1,SOU,@AVL,W 4-3,8.8,90,1
24,Kyle Walker-Peters,D,2.0,Oct 25,SOU,EVE,W 2-0,15.7,90,1
25,Kyle Walker-Peters,D,2.0,Oct 17,SOU,@CHE,T 3-3,9.7,90,1
26,Kyle Walker-Peters,D,2.0,Oct 4,SOU,WBA,W 2-0,19.0,90,1
27,Kyle Walker-Peters,D,2.0,Sep 26,SOU,@BUR,W 1-0,12.6,90,1
28,Kyle Walker-Peters,D,2.0,Sep 20,SOU,TOT,L 2-5,16.75,90,1
29,Kyle Walker-Peters,D,2.0,Sep 12,SOU,@CRY,L 0-1,8.65,90,1
0,Yan Valery,D,2.0,Jan 26,SOU,ARS,L 1-3,9.25,90,1
1,Yan Valery,D,2.0,Jan 16,SOU,@LEI,L 0-2,0.25,2,0
2,Yan Valery,D,2.0,Jan 4,SOU,LIV,W 1-0,2.75,8,0
0,Kayne Ramsay,D,2.0,Feb 2,SOU,@MUN,L 0-9,0.8,90,1
0,Allan Tchaptchet,D,2.0,Feb 2,SOU,@MUN,L 0-9,0.25,11,0
0,Jan Bednarek,D,2.0,May 23,SOU,@WHU,L 0-3,7.65,90,1
1,Jan Bednarek,D,2.0,May 11,SOU,CRY,W 3-1,0.75,44,1
2,Jan Bednarek,D,2.0,May 8,SOU,@LIV,L 0-2,5.95,90,1
3,Jan Bednarek,D,2.0,Apr 30,SOU,LEI,T 1-1,6.2,90,1
4,Jan Bednarek,D,2.0,Apr 21,SOU,@TOT,L 1-2,13.2,90,1
5,Jan Bednarek,D,2.0,Apr 12,SOU,@WBA,L 0-3,9.9,90,1
6,Jan Bednarek,D,2.0,Apr 4,SOU,BUR,W 3-2,12.1,90,1
7,Jan Bednarek,D,2.0,Mar 14,SOU,BHA,L 1-2,8.05,90,1
8,Jan Bednarek,D,2.0,Mar 10,SOU,@MCI,L 2-5,8.65,90,1
9,Jan Bednarek,D,2.0,Mar 6,SOU,@SHU,W 2-0,19.45,90,1
10,Jan Bednarek,D,2.0,Mar 1,SOU,@EVE,L 0-1,13.05,90,1
11,Jan Bednarek,D,2.0,Feb 23,SOU,@LEE,L 0-3,10.6,90,1
12,Jan Bednarek,D,2.0,Feb 20,SOU,CHE,T 1-1,8.75,90,1
13,Jan Bednarek,D,2.0,Feb 14,SOU,WOL,L 1-2,5.1,90,1
14,Jan Bednarek,D,2.0,Feb 6,SOU,@NEW,L 2-3,4.6,90,1
15,Jan Bednarek,D,2.0,Feb 2,SOU,@MUN,L 0-9,-2.5,85,1
16,Jan Bednarek,D,2.0,Jan 30,SOU,AVL,L 0-1,11.85,90,1
17,Jan Bednarek,D,2.0,Jan 26,SOU,ARS,L 1-3,9.7,90,1
18,Jan Bednarek,D,2.0,Jan 16,SOU,@LEI,L 0-2,7.95,90,1
19,Jan Bednarek,D,2.0,Jan 4,SOU,LIV,W 1-0,17.7,90,1
20,Jan Bednarek,D,2.0,Dec 29,SOU,WHU,T 0-0,17.7,90,1
21,Jan Bednarek,D,2.0,Dec 26,SOU,@FUL,T 0-0,15.3,90,1
22,Jan Bednarek,D,2.0,Dec 19,SOU,MCI,L 0-1,7.75,90,1
23,Jan Bednarek,D,2.0,Dec 16,SOU,@ARS,T 1-1,7.0,90,1
24,Jan Bednarek,D,2.0,Dec 13,SOU,SHU,W 3-0,24.55,90,1
25,Jan Bednarek,D,2.0,Dec 7,SOU,@BHA,W 2-1,10.6,90,1
26,Jan Bednarek,D,2.0,Nov 29,SOU,MUN,L 2-3,17.6,90,1
27,Jan Bednarek,D,2.0,Nov 23,SOU,@WOL,T 1-1,7.95,90,1
28,Jan Bednarek,D,2.0,Nov 6,SOU,NEW,W 2-0,18.8,90,1
29,Jan Bednarek,D,2.0,Nov 1,SOU,@AVL,W 4-3,4.8,45,1
30,Jan Bednarek,D,2.0,Oct 25,SOU,EVE,W 2-0,16.0,90,1
31,Jan Bednarek,D,2.0,Oct 17,SOU,@CHE,T 3-3,6.45,90,1
32,Jan Bednarek,D,2.0,Oct 4,SOU,WBA,W 2-0,17.25,90,1
33,Jan Bednarek,D,2.0,Sep 26,SOU,@BUR,W 1-0,19.8,90,1
34,Jan Bednarek,D,2.0,Sep 20,SOU,TOT,L 2-5,3.85,90,1
35,Jan Bednarek,D,2.0,Sep 12,SOU,@CRY,L 0-1,4.6,45,1
0,Jack Stephens,D,2.0,May 18,SOU,LEE,L 0-2,11.95,90,1
1,Jack Stephens,D,2.0,May 15,SOU,FUL,W 3-1,6.45,90,1
2,Jack Stephens,D,2.0,May 11,SOU,CRY,W 3-1,6.05,90,1
3,Jack Stephens,D,2.0,May 8,SOU,@LIV,L 0-2,5.45,90,1
4,Jack Stephens,D,2.0,Apr 30,SOU,LEI,T 1-1,7.5,90,1
5,Jack Stephens,D,2.0,Mar 10,SOU,@MCI,L 2-5,6.35,62,1
6,Jack Stephens,D,2.0,Feb 6,SOU,@NEW,L 2-3,7.1,80,1
7,Jack Stephens,D,2.0,Feb 2,SOU,@MUN,L 0-9,1.3,90,1
8,Jack Stephens,D,2.0,Jan 30,SOU,AVL,L 0-1,8.1,90,1
9,Jack Stephens,D,2.0,Jan 26,SOU,ARS,L 1-3,5.95,90,1
10,Jack Stephens,D,2.0,Jan 16,SOU,@LEI,L 0-2,7.55,90,1
11,Jack Stephens,D,2.0,Jan 4,SOU,LIV,W 1-0,24.2,90,1
12,Jack Stephens,D,2.0,Dec 29,SOU,WHU,T 0-0,18.75,90,1
13,Jack Stephens,D,2.0,Dec 26,SOU,@FUL,T 0-0,20.1,90,1
14,Jack Stephens,D,2.0,Nov 6,SOU,NEW,W 2-0,15.85,90,1
15,Jack Stephens,D,2.0,Nov 1,SOU,@AVL,W 4-3,4.65,45,0
16,Jack Stephens,D,2.0,Sep 20,SOU,TOT,L 2-5,4.2,90,1
17,Jack Stephens,D,2.0,Sep 12,SOU,@CRY,L 0-1,9.45,90,1
0,Jannik Vestergaard,D,2.0,May 23,SOU,@WHU,L 0-3,6.7,90,1
1,Jannik Vestergaard,D,2.0,May 18,SOU,LEE,L 0-2,7.4,90,1
2,Jannik Vestergaard,D,2.0,May 15,SOU,FUL,W 3-1,8.5,90,1
3,Jannik Vestergaard,D,2.0,May 11,SOU,CRY,W 3-1,2.5,90,1
4,Jannik Vestergaard,D,2.0,May 8,SOU,@LIV,L 0-2,7.8,90,1
5,Jannik Vestergaard,D,2.0,Apr 30,SOU,LEI,T 1-1,-2.9,9,1
6,Jannik Vestergaard,D,2.0,Apr 21,SOU,@TOT,L 1-2,5.35,90,1
7,Jannik Vestergaard,D,2.0,Apr 12,SOU,@WBA,L 0-3,11.4,90,1
8,Jannik Vestergaard,D,2.0,Apr 4,SOU,BUR,W 3-2,9.75,90,1
9,Jannik Vestergaard,D,2.0,Mar 14,SOU,BHA,L 1-2,10.15,90,1
10,Jannik Vestergaard,D,2.0,Mar 10,SOU,@MCI,L 2-5,11.6,90,1
11,Jannik Vestergaard,D,2.0,Mar 6,SOU,@SHU,W 2-0,12.85,90,1
12,Jannik Vestergaard,D,2.0,Mar 1,SOU,@EVE,L 0-1,8.75,90,1
13,Jannik Vestergaard,D,2.0,Feb 23,SOU,@LEE,L 0-3,5.95,90,1
14,Jannik Vestergaard,D,2.0,Feb 20,SOU,CHE,T 1-1,12.45,90,1
15,Jannik Vestergaard,D,2.0,Feb 14,SOU,WOL,L 1-2,7.85,90,1
16,Jannik Vestergaard,D,2.0,Feb 6,SOU,@NEW,L 2-3,11.6,90,1
17,Jannik Vestergaard,D,2.0,Dec 19,SOU,MCI,L 0-1,13.35,90,1
18,Jannik Vestergaard,D,2.0,Dec 16,SOU,@ARS,T 1-1,7.7,90,1
19,Jannik Vestergaard,D,2.0,Dec 13,SOU,SHU,W 3-0,17.15,90,1
20,Jannik Vestergaard,D,2.0,Dec 7,SOU,@BHA,W 2-1,22.0,90,1
21,Jannik Vestergaard,D,2.0,Nov 29,SOU,MUN,L 2-3,5.25,90,1
22,Jannik Vestergaard,D,2.0,Nov 23,SOU,@WOL,T 1-1,7.7,90,1
23,Jannik Vestergaard,D,2.0,Nov 6,SOU,NEW,W 2-0,15.85,90,1
24,Jannik Vestergaard,D,2.0,Nov 1,SOU,@AVL,W 4-3,17.8,90,1
25,Jannik Vestergaard,D,2.0,Oct 25,SOU,EVE,W 2-0,15.6,90,1
26,Jannik Vestergaard,D,2.0,Oct 17,SOU,@CHE,T 3-3,16.55,90,1
27,Jannik Vestergaard,D,2.0,Oct 4,SOU,WBA,W 2-0,16.45,90,1
28,Jannik Vestergaard,D,2.0,Sep 26,SOU,@BUR,W 1-0,16.8,90,1
29,Jannik Vestergaard,D,2.0,Sep 12,SOU,@CRY,L 0-1,9.0,45,0
0,Mohammed Salisu,D,2.0,May 23,SOU,@WHU,L 0-3,9.95,90,1
1,Mohammed Salisu,D,2.0,May 18,SOU,LEE,L 0-2,12.6,90,1
2,Mohammed Salisu,D,2.0,May 15,SOU,FUL,W 3-1,11.95,90,1
3,Mohammed Salisu,D,2.0,May 11,SOU,CRY,W 3-1,4.6,44,0
4,Mohammed Salisu,D,2.0,Apr 30,SOU,LEI,T 1-1,10.6,74,0
5,Mohammed Salisu,D,2.0,Apr 21,SOU,@TOT,L 1-2,7.85,90,1
6,Mohammed Salisu,D,2.0,Apr 4,SOU,BUR,W 3-2,2.5,10,0
7,Mohammed Salisu,D,2.0,Mar 10,SOU,@MCI,L 2-5,7.35,90,1
8,Mohammed Salisu,D,2.0,Mar 1,SOU,@EVE,L 0-1,6.25,62,1
9,Mohammed Salisu,D,2.0,Feb 23,SOU,@LEE,L 0-3,10.35,90,1
10,Mohammed Salisu,D,2.0,Feb 20,SOU,CHE,T 1-1,5.65,90,1
11,Mohammed Salisu,D,2.0,Feb 14,SOU,WOL,L 1-2,3.0,17,0
0,Jake Vokins,D,2.0,Jan 26,SOU,ARS,L 1-3,3.5,65,1
0,Ryan Bertrand,"D,M",3.0,Apr 12,SOU,@WBA,L 0-3,9.0,90,1
1,Ryan Bertrand,"D,M",3.0,Apr 4,SOU,BUR,W 3-2,6.05,90,1
2,Ryan Bertrand,"D,M",3.0,Mar 14,SOU,BHA,L 1-2,14.3,90,1
3,Ryan Bertrand,"D,M",3.0,Mar 10,SOU,@MCI,L 2-5,4.1,90,1
4,Ryan Bertrand,"D,M",3.0,Mar 6,SOU,@SHU,W 2-0,16.6,90,1
5,Ryan Bertrand,"D,M",3.0,Mar 1,SOU,@EVE,L 0-1,4.0,90,1
6,Ryan Bertrand,"D,M",3.0,Feb 23,SOU,@LEE,L 0-3,3.25,90,1
